0.12539016156906158 0.050313487237964694 0.43670745734296307 	0.10470590740442276 60.03428668156266 -0.0020981431007385254	0.1253741220604141 0.05033070699739284 0.4367009686802803 
0.12524927554957443 0.05045089602846531 0.4367119013862877 	0.10037834942340851 60.03922250121832 -0.000766724580898881	0.12524927554957443 0.05045089602846531 0.4367119013862877 
0.125171555582547 0.05053055269713269 0.4367143056351831 	0.09922958165407181 60.03759629279375 -0.0008057801751419902	0.12516221863617716 0.050537634192735936 0.4367082735893796 
0.12514523410897027 0.0505608625236178 0.43671547045218434 	0.10164424031972885 60.03638054430485 0.0002083777217194438	0.12514058329242062 0.05056420763770575 0.4367093390586636 
0.12528361089177764 0.050484785761995 0.43670399157978645 	0.0 60.0 0.0	0.12528361089177764 0.050484785761995 0.43670399157978645 
0.1254004557616426 0.050393207094643344 0.43671029028903835 	0.09488650411367416 60.040330335497856 0.0006399599369615316	0.125409664060129 0.05038642079289701 0.43670367855690884 
0.12563500348457524 0.05024926294655785 0.43669623214646747 	0.10856543481349945 60.035198755562305 -0.006359279155731201	0.12563500348457524 0.05024926294655785 0.43669623214646747 
0.12589715039792182 0.050062198462157426 0.4366908493445331 	0.09986735135316849 60.03980457410216 -0.0021702945232391357	0.1259228059677362 0.05004214138707397 0.43669784058328376 
0.1260094883934606 0.0499879464678088 0.43668888760222624 	0.0 60.0 0.0	0.1260094883934606 0.0499879464678088 0.43668888760222624 
0.12580587344464078 0.05022937425152918 0.43669380610061376 	0.10160758346319199 60.037438262254 0.000804245239123702	0.12580587344464078 0.05022937425152918 0.43669380610061376 
0.12552187147574045 0.050561373612382 0.4367018454229044 	0.08428847044706345 60.04234090819955 -0.0005929917097091675	0.12552187147574045 0.050561373612382 0.4367018454229044 
0.12534604873722088 0.05081248277945605 0.4367180398250406 	0.10817651450634003 60.034035470336676 -0.003274276852607727	0.1253295594260848 0.05084104732632966 0.4367121856882218 
0.12518660211704002 0.05113673869269064 0.43671718433764606 	-0.07348592579364777 60.0597964823246 0.023752378299832344	0.12518660211704002 0.05113673869269064 0.43671718433764606 
0.12508486076827197 0.05152616634531171 0.43673573848983216 	0.0 60.0 0.0	0.1250839440709619 0.05154148565186034 0.4367294754360648 
0.1251942932148502 0.05170678594515721 0.43673743343578186 	0.0 60.0 0.0	0.1251990868741224 0.05171362831050885 0.4367306758867159 
0.12530097295061893 0.051714516743047056 0.4367366630117261 	0.10232222080230713 60.042575020343065 -0.001754075288772583	0.12531065612333236 0.05171803863429858 0.43672800129845524 
0.1256599529496647 0.051585612141458626 0.4367223812711627 	0.0 60.0 0.0	0.1256599529496647 0.051585612141458626 0.4367223812711627 
0.1260818712454821 0.05130704729324265 0.43672059452836287 	0.0 60.0 0.0	0.12609980570724844 0.05129433876830092 0.43671371619279126 
0.12634070216604698 0.051089991273777 0.43671504694201185 	0.10297539085149765 60.03880447894335 -0.0014707744121551514	0.1263594112717179 0.05107305543988616 0.4367081996370282 
0.12670378863682075 0.050797713372283226 0.43669747240691026 	0.08578760176897049 60.04201550036669 0.0016778709832578897	0.12673403873894884 0.0507710288248191 0.43670416059447836 
0.12693396192728912 0.05055154805592821 0.43670256427495513 	0.10644031316041946 60.03268591314554 -0.0024472030345350504	0.12693487883609222 0.05054647885683039 0.4366923143926096 
0.12679100122808507 0.05068759655596011 0.4366947947850771 	0.0 60.0 0.0	0.12677013552624672 0.05070082692390088 0.4367004232474774 
0.12648066842677963 0.051036274050026975 0.43671458550470194 	0.12780959904193878 60.042715437710285 -0.0003408193588256836	0.12648066842677963 0.051036274050026975 0.43671458550470194 
